地名,センター,一般ごみ,資源（かん・びん）,資源（ペットボトル・紙・布）,プラ製容器包装
今福,北,月 木,水2 水4,水1 水3 水5,火
宮,北,火 金,水1 水3,水2 水4 水5,木
高松,北,月 木,水2 水4,水1 水3 水5,金
雑賀,北,月 木,水2 水4,水1 水3 水5,火
安原,北,火 金,水1 水3,水2 水4 水5,月
広瀬,北,月 木,水2 水4,水1 水3 水5,金
紀伊,北,火 金,水2 水4,水1 水3 水5,木
雄湊,北,月 木,水1 水3,水2 水4 水5,火
宮,北,火 金,水1 水3,水2 水4 水5,木
宮,北,火 金,水1 水3,水2 水4 水5,金
雄湊,北,月 木,水1 水3,水2 水4 水5,火
雄湊,北,月 木,水1 水3,水2 水4 水5,水
中之島／四箇郷,北,月 木,水1 水3,水2 水4 水5,金
大新,北,月 木,水1 水3,水2 水4 水5,金
楠見,西,火 金,水2 水4,水1 水3 水5,月
城北,北,月 木,水1 水3,水2 水4 水5,金
西脇,西,月 木,水1 水3,水2 水4 水5,火
城北,北,月 木,水1 水3,水2 水4 水5,金
西山東,北,火 金,水1 水3,水2 水4 水5,月
楠見,西,火 金,水2 水4,水1 水3 水5,月
城北,北,月 木,水1 水3,水2 水4 水5,金
城北,北,月 木,水1 水3,水2 水4 水5,金
安原,北,火 金,水1 水3,水2 水4 水5,月
和佐,北,火 金,水1 水3,水2 水4 水5,月
今福,北,月 木,水2 水4,水1 水3 水5,火
西和佐,北,火 金,水1 水3,水2 水4 水5,木
岡崎,北,火 金,水1 水3,水2 水4 水5,木
岡崎,北,火 金,水1 水3,水2 水4 水5,月
紀伊,北,火 金,水2 水4,水1 水3 水5,木
雄湊,北,月 木,水1 水3,水2 水4 水5,火
雄湊,北,月 木,水1 水3,水2 水4 水5,火
本町,北,月 木,水1 水3,水2 水4 水5,金
本町,北,月 木,水1 水3,水2 水4 水5,金
本町,北,月 木,水1 水3,水2 水4 水5,金
本町,北,月 木,水1 水3,水2 水4 水5,金
高松,北,月 木,水2 水4,水1 水3 水5,金
紀伊／川永,北,火 金,水2 水4,水1 水3 水5,木
高松,北,月 木,水2 水4,水1 水3 水5,金
名草,北,月 木,水1 水3,水2 水4 水5,金
木本,西,月 木,水1 水3,水2 水4 水5,金
貴志,西,火 金,水2 水4,水1 水3 水5,木
雄湊,北,月 木,水1 水3,水2 水4 水5,火
大新,北,月 木,水1 水3,水2 水4 水5,金
安原,北,火 金,水1 水3,水2 水4 水5,月
木本,西,月 木,水1 水3,水2 水4 水5,金
加太,西,月 木,水1 水3,水2 水4 水5,火
東山東,北,火 金,水1 水3,水2 水4 水5,月
小倉,北,火 金,水1 水3,水2 水4 水5,月
楠見,西,火 金,水2 水4,水1 水3 水5,月
宮,北,月 木,水1 水3,水2 水4 水5,火
宮,北,火 金,水1 水3,水2 水4 水5,木
大新,北,月 木,水1 水3,水2 水4 水5,金
大新,北,月 木,水1 水3,水2 水4 水5,金
大新,北,月 木,水1 水3,水2 水4 水5,金
大新,北,月 木,水1 水3,水2 水4 水5,金
大新,北,月 木,水1 水3,水2 水4 水5,金
大新,北,月 木,水1 水3,水2 水4 水5,金
広瀬,北,月 木,水2 水4,水1 水3 水5,金
大新,北,月 木,水1 水3,水2 水4 水5,金
西山東,北,火 金,水1 水3,水2 水4 水5,月
